sentiment,tweet_2
positive,"RT @shampadhar: Fabulous idea putting India’s master weavers on the same platform as the top fashion designers who use their creations, and…"
positive,"RT @rsprasad: Total value of BHIM-UPI transactions crossed Rs. 1 Lakh Crore mark in December, 2018. BHIM-UPI is a unique fintech innovation…"
neutral,"RT @darshanpathak: A tale of two interviews (in 3 parts):

Guests:
Sonia Gandhi
Narendra Modi

'Journalist' : @ShekharGupta (Currently 'Pre…"
neutral,"RT @HarmlessYardDog: &gt;India's brexit demand 

&gt;India's 
&gt;brexit
&gt;demand https://t.co/Lw5VuBkKcQ"
neutral,"RT @NamoYouthIndia: Congress playing politics over national security, commend Nirmala Sitharaman for exposing it: PM Narendra Modi
https://…"
positive,"RT @nsitharaman: Please read the complete report in ⁦@timesofindia⁩ to which you ( ⁦@RahulGandhi⁩ )are referring:  “However, as the LS reco…"
positive,RT @atulraj: proud to be part of #India_First team with @DrGPradhan. At Bangalore. #IndiaFirst https://t.co/iwCTsRVwal
negative,"RT @republic: 'My family of 8 lived in a 40x12 feet house–it was small, but enough for us': PM Modi talks about his childhood
https://t.co/…"
neutral,"RT @ShashiTharoor: Broke HAL borrows Rs 1,000 crore to pay salaries to employees — and Defence Minister says govt has given HAL 1 lakh cror…"
positive,"RT @MrMarleyTeach: First book finished of 2019, the fantastic New Silk Roads by @peterfrankopan explores the growing shift of power to Silk…"
negative,"RT @shyamznwar: India jumps 73 spots to 26 rank in World Bank’s electricity accessibility list 
@muglikar_ @mahesh10816 @LillyMaryPinto htt…"
positive,#Hindutva #HinduExtremism: Welcome to 21st century's India: #India's #Hindu far-right fascist movement taking it to… https://t.co/RtWu3JAMQ8
neutral,"@RURALINDIA Aren't they on same path as ""India Shining""?"
positive,"RT @FSAsiaLive: 68' GOAL! Anirudh Thapa just about chips home after a terrific attack from India once again! WOW. It's 3-1 now!

#BringItAl…"
positive,"RT @amitbehere: Social media: Ancient Hindus invented everything from aeroplanes to nuclear reactors. 
Bhakt: Wow, ours was a glorious civi…"
neutral,"RT @IndianFootball: 78' Substitutions for India! @jejefanai comes on for @ashiquekuruniya, while @RowllinB comes on for @AnirudhThapa.

🇹🇭…"
positive,RT @HindolSengupta: It is a true tragedy that we are engineering a generation of Indians who have never been taught any realistic sense of…
negative,"RT @skumar0112: @nsitharaman Mountain Congratulations, Madam. ............. But Alas! Somebody has rightly quipped, ""India is a country of…"
neutral,RT @ShashiTharoor: The report of the parliamentary Standing Committee on External Affairs reveals grave concerns about the discrepancies in…
positive,"RT @DHONIism: ""Dhoni is the greatest player India has ever produced. ""He played 90 Tests and then said let's give a chance to the youngster…"
neutral,"RT @ashoswai: This 'Yale' Graduate is a heartless psycho!
""Smriti Irani's convoy rammed into our car. She came out. I begged her for help b…"
neutral,RT @sardesairajdeep: What a day for Indian cricket: to think that an Indian team would make Australia follow on in Australia.. an Indian le…
neutral,"RT @beindiya: @nsitharamanoffc @INCIndia @RahulGandhi @DefenceMinIndia @nsitharaman @BJPLive @BJP4India Ma’am waiting for our 15 lacs, 2 cr…"
neutral,"@afcasiancup NOW India 3-1 Thailand
#THAIND"
positive,"RT @India_Policy: Watch, how UPA left India skies completely defenseless. There can be only 2 plausible explanations. 1) There was no commi…"
positive,"RT @India_Policy: I will tell you why. The old deal was No-Deal. Like Nehru, Sonia too was bent to India's Defence preparedness to wither a…"
positive,"RT @AyresAlyssa: Excellent deep dive into India’s jobs challenge, which is all the more difficult to address due to data insufficiency. htt…"
neutral,RT @vanshikataneja3: #BirthMonthCelebrationsDay6 for the last 6 days @derasachasauda  volunteer all over India continuously distributing ra…
neutral,"RT @TheEconomist: Aadhaar, India's project to create a national register of citizens, is not voluntary—it has been mooted as a requirement…"
positive,RT @strategic_front: The government of India will deliver four more Mi-25 gunship helicopters to the Afghan Air Force with the delivery of…
positive,"RT @manny_ottawa: “Fish rots from the head”

Trudeau is vacuous but knows dancing, dressing up and pandering works — so his top Ministers f…"
positive,"RT @NITINKML: As anticipated, Akhilesh + Mayawati + Ajit Singh. No candidates in Amethi and Rae Bareili. Congress on its own. For a long ti…"
positive,"RT @ranganaathan: Good news for citizens, bad for Dynasty. 
ED seeks open-ended NBW against close aide of Robert Vadra in money laundering…"
positive,"@Robbo_1990 @TomMoodyCricket I think newzeland cricket improved very much.
We remember lollypop bowler in past but… https://t.co/Mv8K9fpzDb"
neutral,#IRejectTheSangh because India is a secular country that embraces every religion and belief.
negative,The last time India scored thrice in an @afcasiancup game was back in 1964 (3-1 v Hong Kong) - 9 games ago. Inciden… https://t.co/7DP6Vni3y6
neutral,"RT @AeroDixit: It was an amendment made in 1976 under which the word ‘secular’ was included in the Preamble. In contrast, the Supreme Court…"
neutral,"RT @arunjaitley: The total amount of subsidy transferred through Aadhaar now equals Rs.169,868 crores. With the elimination of middlemen th…"
